Lg,LDD_Dose,LDD_Energy,SD_Dose,SD_Energy,Vd,Vth,Id,SS,gm
0.36,1.00E+11,10,1.00E+14,30,1,1.078,1.724e-04,83.387,1.254e-04
0.36,1.00E+11,10,1.00E+14,40,0.05,0.829,2.245e-05,85.264,1.855e-05
0.36,1.00E+11,10,1.00E+14,40,1,1.103,1.970e-04,82.596,1.430e-04
0.36,1.00E+11,10,1.00E+15,10,0.05,0.857,2.862e-05,85.61,2.158e-05
0.36,1.00E+11,10,1.00E+15,10,1,1.159,2.172e-04,82.904,1.622e-04
0.36,1.00E+11,10,1.00E+15,15,0.05,0.855,2.914e-05,85.449,2.201e-05
0.36,1.00E+11,10,1.00E+15,15,1,1.159,2.213e-04,82.718,1.652e-04
0.36,1.00E+11,10,1.00E+15,20,0.05,0.853,3.028e-05,85.264,2.276e-05
0.36,1.00E+11,10,1.00E+15,20,1,1.163,2.279e-04,82.498,1.705e-04
0.36,1.00E+11,10,1.00E+15,30,0.05,0.845,3.277e-05,84.89,2.439e-05
0.36,1.00E+11,10,1.00E+15,30,1,1.155,2.431e-04,81.86,1.807e-04
0.36,1.00E+11,10,1.00E+15,40,0.05,0.744,3.371e-05,82.534,2.117e-05
0.36,1.00E+11,10,1.00E+15,40,1,1.095,2.637e-04,80.092,1.876e-04
0.36,1.00E+11,10,1.00E+16,10,0.05,0.859,3.382e-05,85.499,2.441e-05
0.36,1.00E+11,10,1.00E+16,10,1,1.192,2.384e-04,82.484,1.823e-04
0.36,1.00E+11,10,1.00E+16,15,0.05,0.851,3.640e-05,85.049,2.618e-05
0.36,1.00E+11,10,1.00E+16,15,1,1.174,2.506e-04,82.093,1.890e-04
0.36,1.00E+11,10,1.00E+16,20,0.05,0.846,3.685e-05,84.85,2.649e-05
0.36,1.00E+11,10,1.00E+16,20,1,1.164,2.539e-04,81.857,1.900e-04
0.36,1.00E+11,10,1.00E+16,30,0.05,0.828,3.939e-05,84.047,2.799e-05
0.36,1.00E+11,10,1.00E+16,30,1,1.125,2.686e-04,80.915,1.953e-04
0.36,1.00E+11,10,1.00E+16,40,0.05,0.157,3.709e-05,1367.547,1.584e-05
0.36,1.00E+11,10,1.00E+16,40,1,0.447,3.710e-04,1052.713,1.807e-04
0.36,1.00E+11,10,1.00E+17,10,0.05,0.833,4.148e-05,84.33,2.930e-05
0.36,1.00E+11,10,1.00E+17,10,1,1.128,2.726e-04,81.313,1.986e-04
0.36,1.00E+11,10,1.00E+17,15,0.05,0.823,4.239e-05,83.995,2.994e-05
0.36,1.00E+11,10,1.00E+17,15,1,1.105,2.796e-04,80.952,2.004e-04
0.36,1.00E+11,10,1.00E+17,20,0.05,0.812,4.390e-05,83.423,3.094e-05
0.36,1.00E+11,10,1.00E+17,20,1,1.083,2.873e-04,80.471,2.027e-04
0.36,1.00E+11,10,1.00E+17,30,0.05,0.779,4.503e-05,82.669,3.032e-05
0.36,1.00E+11,10,1.00E+17,30,1,1.043,3.003e-04,80.015,2.062e-04
0.36,1.00E+11,10,1.00E+18,10,0.05,0.816,4.426e-05,84.096,3.117e-05
0.36,1.00E+11,10,1.00E+18,10,1,1.089,2.871e-04,80.687,2.035e-04
0.36,1.00E+11,10,1.00E+18,15,0.05,0.803,4.546e-05,83.111,3.194e-05
0.36,1.00E+11,10,1.00E+18,15,1,1.063,2.951e-04,80.247,2.054e-04
0.36,1.00E+11,10,1.00E+18,20,0.05,0.784,4.802e-05,82.763,3.362e-05
0.36,1.00E+11,10,1.00E+18,20,1,1.022,3.088e-04,80.367,2.090e-04
0.36,1.00E+11,10,1.00E+18,30,0.05,0.597,4.931e-05,83.734,2.695e-05
0.36,1.00E+11,10,1.00E+18,30,1,0.882,3.517e-04,89.598,2.174e-04
0.36,1.00E+11,20,1.00E+14,10,0.05,0.86,1.712e-05,86.323,1.186e-05
0.36,1.00E+11,20,1.00E+14,10,1,1.098,1.236e-04,84.175,9.047e-05
0.36,1.00E+11,20,1.00E+14,15,0.05,0.842,1.882e-05,86.132,1.389e-05
0.36,1.00E+11,20,1.00E+14,15,1,1.066,1.394e-04,84.037,1.002e-04
0.36,1.00E+11,20,1.00E+14,20,0.05,0.839,2.003e-05,85.938,1.555e-05
0.36,1.00E+11,20,1.00E+14,20,1,1.061,1.524e-04,83.766,1.100e-04
0.36,1.00E+11,20,1.00E+14,30,0.05,0.838,2.131e-05,85.647,1.736e-05
0.36,1.00E+11,20,1.00E+14,30,1,1.075,1.715e-04,83.393,1.246e-04
0.36,1.00E+11,20,1.00E+14,40,0.05,0.829,2.248e-05,85.258,1.856e-05
0.36,1.00E+11,20,1.00E+14,40,1,1.101,1.966e-04,82.597,1.425e-04
0.36,1.00E+11,20,1.00E+15,10,0.05,0.857,2.868e-05,85.602,2.161e-05
0.36,1.00E+11,20,1.00E+15,10,1,1.157,2.171e-04,82.905,1.620e-04
0.36,1.00E+11,20,1.00E+15,15,0.05,0.855,2.920e-05,85.442,2.204e-05
0.36,1.00E+11,20,1.00E+15,15,1,1.158,2.212e-04,82.717,1.650e-04
0.36,1.00E+11,20,1.00E+15,20,0.05,0.853,3.033e-05,85.255,2.279e-05
0.36,1.00E+11,20,1.00E+15,20,1,1.162,2.278e-04,82.493,1.703e-04
0.36,1.00E+11,20,1.00E+15,30,0.05,0.845,3.279e-05,84.883,2.441e-05
0.36,1.00E+11,20,1.00E+15,30,1,1.154,2.431e-04,81.857,1.806e-04
0.36,1.00E+11,20,1.00E+15,40,0.05,0.744,3.372e-05,82.53,2.118e-05
0.36,1.00E+11,20,1.00E+15,40,1,1.094,2.636e-04,80.089,1.876e-04
0.36,1.00E+11,20,1.00E+16,10,0.05,0.859,3.385e-05,85.49,2.443e-05
0.36,1.00E+11,20,1.00E+16,10,1,1.192,2.385e-04,82.476,1.823e-04
0.36,1.00E+11,20,1.00E+16,15,0.05,0.851,3.642e-05,85.059,2.620e-05
0.36,1.00E+11,20,1.00E+16,15,1,1.174,2.506e-04,82.09,1.890e-04
0.36,1.00E+11,20,1.00E+16,20,0.05,0.846,3.687e-05,84.845,2.650e-05
0.36,1.00E+11,20,1.00E+16,20,1,1.164,2.539e-04,81.855,1.900e-04
0.36,1.00E+11,20,1.00E+16,30,0.05,0.828,3.940e-05,84.045,2.800e-05
0.36,1.00E+11,20,1.00E+16,30,1,1.125,2.686e-04,80.914,1.953e-04
0.36,1.00E+11,20,1.00E+16,40,0.05,0.157,3.709e-05,1367.554,1.584e-05
0.36,1.00E+11,20,1.00E+16,40,1,0.447,3.710e-04,1052.695,1.807e-04
0.36,1.00E+11,20,1.00E+17,10,0.05,0.833,4.148e-05,84.331,2.930e-05
0.36,1.00E+11,20,1.00E+17,10,1,1.128,2.726e-04,81.314,1.986e-04
0.36,1.00E+11,20,1.00E+17,15,0.05,0.823,4.239e-05,83.996,2.994e-05
0.36,1.00E+11,20,1.00E+17,15,1,1.105,2.796e-04,80.954,2.004e-04
0.36,1.00E+11,20,1.00E+17,20,0.05,0.812,4.390e-05,83.423,3.094e-05
0.36,1.00E+11,20,1.00E+17,20,1,1.083,2.873e-04,80.471,2.027e-04
0.36,1.00E+11,20,1.00E+17,30,0.05,0.779,4.503e-05,82.669,3.032e-05
0.36,1.00E+11,20,1.00E+17,30,1,1.043,3.003e-04,80.015,2.062e-04
0.36,1.00E+11,20,1.00E+18,10,0.05,0.816,4.426e-05,84.098,3.117e-05
0.36,1.00E+11,20,1.00E+18,10,1,1.089,2.871e-04,80.688,2.035e-04
0.36,1.00E+11,20,1.00E+18,15,0.05,0.803,4.546e-05,83.111,3.194e-05
0.36,1.00E+11,20,1.00E+18,15,1,1.063,2.951e-04,80.247,2.054e-04
0.36,1.00E+11,20,1.00E+18,20,0.05,0.784,4.802e-05,82.763,3.362e-05
0.36,1.00E+11,20,1.00E+18,20,1,1.022,3.088e-04,80.367,2.090e-04
0.36,1.00E+11,20,1.00E+18,30,0.05,0.597,4.931e-05,83.734,2.695e-05
0.36,1.00E+11,20,1.00E+18,30,1,0.882,3.517e-04,89.6,2.174e-04
0.36,1.00E+11,30,1.00E+14,10,0.05,0.865,1.706e-05,86.301,1.180e-05
0.36,1.00E+11,30,1.00E+14,10,1,1.102,1.226e-04,84.159,9.000e-05
0.36,1.00E+11,30,1.00E+14,15,0.05,0.842,1.878e-05,86.132,1.377e-05
0.36,1.00E+11,30,1.00E+14,15,1,1.067,1.385e-04,84.031,9.955e-05
0.36,1.00E+11,30,1.00E+14,20,0.05,0.839,2.000e-05,85.939,1.547e-05
0.36,1.00E+11,30,1.00E+14,20,1,1.06,1.516e-04,83.773,1.092e-04
0.36,1.00E+11,30,1.00E+14,30,0.05,0.838,2.129e-05,85.638,1.731e-05
0.36,1.00E+11,30,1.00E+14,30,1,1.074,1.708e-04,83.398,1.239e-04
0.36,1.00E+11,30,1.00E+14,40,0.05,0.829,2.247e-05,85.256,1.853e-05
0.36,1.00E+11,30,1.00E+14,40,1,1.1,1.962e-04,82.599,1.422e-04
0.36,1.00E+11,30,1.00E+15,10,0.05,0.857,2.867e-05,85.6,2.160e-05
0.36,1.00E+11,30,1.00E+15,10,1,1.157,2.169e-04,82.907,1.617e-04
0.36,1.00E+11,30,1.00E+15,15,0.05,0.855,2.919e-05,85.44,2.202e-05
0.36,1.00E+11,30,1.00E+15,15,1,1.157,2.210e-04,82.717,1.648e-04
0.36,1.00E+11,30,1.00E+15,20,0.05,0.853,3.033e-05,85.251,2.278e-05
0.36,1.00E+11,30,1.00E+15,20,1,1.161,2.277e-04,82.49,1.702e-04
0.36,1.00E+11,30,1.00E+15,30,0.05,0.845,3.279e-05,84.879,2.441e-05
0.36,1.00E+11,30,1.00E+15,30,1,1.154,2.430e-04,81.854,1.805e-04
0.36,1.00E+11,30,1.00E+15,40,0.05,0.744,3.372e-05,82.527,2.117e-05
0.36,1.00E+11,30,1.00E+15,40,1,1.094,2.636e-04,80.054,1.875e-04
0.36,1.00E+11,30,1.00E+16,10,0.05,0.859,3.386e-05,85.484,2.443e-05
0.36,1.00E+11,30,1.00E+16,10,1,1.191,2.385e-04,82.474,1.822e-04
0.36,1.00E+11,30,1.00E+16,15,0.05,0.851,3.643e-05,85.055,2.620e-05
0.36,1.00E+11,30,1.00E+16,15,1,1.174,2.506e-04,82.087,1.890e-04
0.36,1.00E+11,30,1.00E+16,20,0.05,0.846,3.687e-05,84.839,2.651e-05
0.36,1.00E+11,30,1.00E+16,20,1,1.163,2.539e-04,81.852,1.900e-04
0.36,1.00E+11,30,1.00E+16,30,0.05,0.828,3.941e-05,84.044,2.800e-05
0.36,1.00E+11,30,1.00E+16,30,1,1.125,2.686e-04,80.913,1.953e-04
0.36,1.00E+11,30,1.00E+16,40,0.05,0.157,3.709e-05,1367.596,1.584e-05
0.36,1.00E+11,30,1.00E+16,40,1,0.447,3.710e-04,1052.724,1.807e-04
0.36,1.00E+11,30,1.00E+17,10,0.05,0.833,4.148e-05,84.331,2.930e-05
0.36,1.00E+11,30,1.00E+17,10,1,1.128,2.726e-04,81.314,1.986e-04
0.36,1.00E+11,30,1.00E+17,15,0.05,0.823,4.239e-05,83.996,2.994e-05
0.36,1.00E+11,30,1.00E+17,15,1,1.105,2.796e-04,80.954,2.004e-04
0.36,1.00E+11,30,1.00E+17,20,0.05,0.812,4.390e-05,83.422,3.095e-05
0.36,1.00E+11,30,1.00E+17,20,1,1.083,2.873e-04,80.471,2.027e-04
0.36,1.00E+11,30,1.00E+17,30,0.05,0.779,4.503e-05,82.669,3.032e-05
0.36,1.00E+11,30,1.00E+17,30,1,1.043,3.003e-04,80.015,2.062e-04
0.36,1.00E+11,30,1.00E+18,10,0.05,0.816,4.426e-05,84.098,3.117e-05
0.36,1.00E+11,30,1.00E+18,10,1,1.089,2.871e-04,80.687,2.035e-04
0.36,1.00E+11,30,1.00E+18,15,0.05,0.803,4.546e-05,83.111,3.194e-05
0.36,1.00E+11,30,1.00E+18,15,1,1.063,2.951e-04,80.247,2.054e-04
0.36,1.00E+11,30,1.00E+18,20,0.05,0.784,4.802e-05,82.763,3.362e-05
0.36,1.00E+11,30,1.00E+18,20,1,1.022,3.088e-04,80.367,2.090e-04
0.36,1.00E+11,30,1.00E+18,30,0.05,0.597,4.931e-05,83.734,2.695e-05
0.36,1.00E+11,30,1.00E+18,30,1,0.882,3.517e-04,89.599,2.174e-04
0.36,1.00E+11,50,1.00E+14,10,0.05,0.872,1.696e-05,86.275,1.171e-05
0.36,1.00E+11,50,1.00E+14,10,1,1.108,1.214e-04,84.143,8.939e-05
0.36,1.00E+11,50,1.00E+14,15,0.05,0.844,1.869e-05,86.13,1.361e-05
0.36,1.00E+11,50,1.00E+14,15,1,1.069,1.373e-04,84.026,9.877e-05
0.36,1.00E+11,50,1.00E+14,20,0.05,0.839,1.993e-05,85.945,1.534e-05
0.36,1.00E+11,50,1.00E+14,20,1,1.06,1.505e-04,83.694,1.083e-04
0.36,1.00E+11,50,1.00E+14,30,0.05,0.838,2.125e-05,85.628,1.724e-05
0.36,1.00E+11,50,1.00E+14,30,1,1.072,1.699e-04,83.403,1.231e-04
0.36,1.00E+11,50,1.00E+14,40,0.05,0.829,2.244e-05,85.255,1.849e-05
0.36,1.00E+11,50,1.00E+14,40,1,1.099,1.956e-04,82.6,1.417e-04
0.36,1.00E+11,50,1.00E+15,10,0.05,0.856,2.865e-05,85.599,2.157e-05
0.36,1.00E+11,50,1.00E+15,10,1,1.156,2.166e-04,82.857,1.615e-04
0.36,1.00E+11,50,1.00E+15,15,0.05,0.855,2.917e-05,85.438,2.199e-05
0.36,1.00E+11,50,1.00E+15,15,1,1.156,2.208e-04,82.717,1.645e-04
0.36,1.00E+11,50,1.00E+15,20,0.05,0.853,3.031e-05,85.247,2.276e-05
0.36,1.00E+11,50,1.00E+15,20,1,1.161,2.275e-04,82.485,1.700e-04
0.36,1.00E+11,50,1.00E+15,30,0.05,0.845,3.279e-05,84.873,2.440e-05
0.36,1.00E+11,50,1.00E+15,30,1,1.153,2.430e-04,81.849,1.805e-04
0.36,1.00E+11,50,1.00E+15,40,0.05,0.744,3.371e-05,82.522,2.117e-05
0.36,1.00E+11,50,1.00E+15,40,1,1.094,2.636e-04,80.044,1.875e-04
0.36,1.00E+11,50,1.00E+16,10,0.05,0.858,3.386e-05,85.478,2.443e-05
0.36,1.00E+11,50,1.00E+16,10,1,1.191,2.385e-04,82.469,1.822e-04
0.36,1.00E+11,50,1.00E+16,15,0.05,0.851,3.643e-05,85.052,2.620e-05
0.36,1.00E+11,50,1.00E+16,15,1,1.174,2.506e-04,82.083,1.890e-04
0.36,1.00E+11,50,1.00E+16,20,0.05,0.846,3.687e-05,84.835,2.651e-05
0.36,1.00E+11,50,1.00E+16,20,1,1.163,2.539e-04,81.848,1.900e-04
0.36,1.00E+11,50,1.00E+16,30,0.05,0.828,3.941e-05,84.041,2.800e-05
0.36,1.00E+11,50,1.00E+16,30,1,1.125,2.687e-04,80.91,1.953e-04
0.36,1.00E+11,50,1.00E+16,40,0.05,0.157,3.709e-05,1367.777,1.584e-05
0.36,1.00E+11,50,1.00E+16,40,1,0.447,3.710e-04,1052.848,1.807e-04
0.36,1.00E+11,50,1.00E+17,10,0.05,0.833,4.149e-05,84.329,2.930e-05
0.36,1.00E+11,50,1.00E+17,10,1,1.128,2.726e-04,81.312,1.986e-04
0.36,1.00E+11,50,1.00E+17,15,0.05,0.823,4.239e-05,83.995,2.994e-05
0.36,1.00E+11,50,1.00E+17,15,1,1.105,2.796e-04,80.953,2.004e-04
0.36,1.00E+11,50,1.00E+17,20,0.05,0.812,4.390e-05,83.421,3.095e-05
0.36,1.00E+11,50,1.00E+17,20,1,1.083,2.873e-04,80.47,2.027e-04
0.36,1.00E+11,50,1.00E+17,30,0.05,0.779,4.503e-05,82.669,3.033e-05
0.36,1.00E+11,50,1.00E+17,30,1,1.043,3.003e-04,80.015,2.062e-04
0.36,1.00E+11,50,1.00E+18,10,0.05,0.816,4.427e-05,84.098,3.117e-05
0.36,1.00E+11,50,1.00E+18,10,1,1.089,2.871e-04,80.686,2.035e-04
0.36,1.00E+11,50,1.00E+18,15,0.05,0.802,4.547e-05,83.109,3.195e-05
0.36,1.00E+11,50,1.00E+18,15,1,1.062,2.953e-04,80.244,2.054e-04
0.36,1.00E+11,50,1.00E+18,20,0.05,0.784,4.802e-05,82.763,3.362e-05
0.36,1.00E+11,50,1.00E+18,20,1,1.022,3.088e-04,80.367,2.090e-04
0.36,1.00E+11,50,1.00E+18,30,0.05,0.597,4.931e-05,83.734,2.695e-05
0.36,1.00E+11,50,1.00E+18,30,1,0.882,3.517e-04,89.6,2.174e-04
0.36,1.00E+11,70,1.00E+14,10,0.05,0.876,1.689e-05,86.267,1.163e-05
0.36,1.00E+11,70,1.00E+14,10,1,1.111,1.207e-04,84.137,8.906e-05
0.36,1.00E+11,70,1.00E+14,15,0.05,0.844,1.863e-05,86.131,1.351e-05
0.36,1.00E+11,70,1.00E+14,15,1,1.071,1.366e-04,84.023,9.836e-05
0.36,1.00E+11,70,1.00E+14,20,0.05,0.839,1.988e-05,85.949,1.525e-05
0.36,1.00E+11,70,1.00E+14,20,1,1.059,1.499e-04,83.785,1.077e-04
0.36,1.00E+11,70,1.00E+14,30,0.05,0.838,2.121e-05,85.621,1.719e-05
0.36,1.00E+11,70,1.00E+14,30,1,1.072,1.694e-04,83.404,1.228e-04
0.36,1.00E+11,70,1.00E+14,40,0.05,0.829,2.242e-05,85.254,1.846e-05
0.36,1.00E+11,70,1.00E+14,40,1,1.099,1.954e-04,82.599,1.415e-04
0.36,1.00E+11,70,1.00E+15,10,0.05,0.856,2.863e-05,85.598,2.154e-05
0.36,1.00E+11,70,1.00E+15,10,1,1.156,2.165e-04,82.908,1.613e-04
0.36,1.00E+11,70,1.00E+15,15,0.05,0.854,2.915e-05,85.436,2.197e-05
0.36,1.00E+11,70,1.00E+15,15,1,1.156,2.207e-04,82.716,1.644e-04
0.36,1.00E+11,70,1.00E+15,20,0.05,0.853,3.030e-05,85.243,2.275e-05
0.36,1.00E+11,70,1.00E+15,20,1,1.16,2.275e-04,82.482,1.699e-04
0.36,1.00E+11,70,1.00E+15,30,0.05,0.844,3.278e-05,84.869,2.439e-05
0.36,1.00E+11,70,1.00E+15,30,1,1.153,2.430e-04,81.844,1.804e-04
0.36,1.00E+11,70,1.00E+15,40,0.05,0.744,3.371e-05,82.518,2.117e-05
0.36,1.00E+11,70,1.00E+15,40,1,1.094,2.636e-04,80.068,1.875e-04
0.36,1.00E+11,70,1.00E+16,10,0.05,0.858,3.386e-05,85.474,2.442e-05
0.36,1.00E+11,70,1.00E+16,10,1,1.191,2.385e-04,82.465,1.822e-04
0.36,1.00E+11,70,1.00E+16,15,0.05,0.851,3.643e-05,85.048,2.620e-05
0.36,1.00E+11,70,1.00E+16,15,1,1.174,2.506e-04,82.079,1.890e-04
0.36,1.00E+11,70,1.00E+16,20,0.05,0.846,3.688e-05,84.83,2.651e-05
0.36,1.00E+11,70,1.00E+16,20,1,1.163,2.539e-04,81.843,1.900e-04
0.36,1.00E+11,70,1.00E+16,30,0.05,0.828,3.941e-05,84.038,2.800e-05
0.36,1.00E+11,70,1.00E+16,30,1,1.125,2.687e-04,80.907,1.953e-04
0.36,1.00E+11,70,1.00E+16,40,0.05,0.156,3.709e-05,1368.026,1.584e-05
0.36,1.00E+11,70,1.00E+16,40,1,0.447,3.710e-04,1053.016,1.807e-04
0.36,1.00E+11,70,1.00E+17,10,0.05,0.833,4.149e-05,84.326,2.930e-05
0.36,1.00E+11,70,1.00E+17,10,1,1.128,2.726e-04,81.309,1.986e-04
0.36,1.00E+11,70,1.00E+17,15,0.05,0.823,4.239e-05,83.993,2.994e-05
0.36,1.00E+11,70,1.00E+17,15,1,1.105,2.796e-04,80.951,2.004e-04
0.36,1.00E+11,70,1.00E+17,20,0.05,0.812,4.391e-05,83.419,3.095e-05
0.36,1.00E+11,70,1.00E+17,20,1,1.083,2.873e-04,80.469,2.028e-04
0.36,1.00E+11,70,1.00E+17,30,0.05,0.779,4.503e-05,82.668,3.032e-05
0.36,1.00E+11,70,1.00E+17,30,1,1.043,3.004e-04,80.015,2.062e-04
0.36,1.00E+11,70,1.00E+18,10,0.05,0.816,4.427e-05,84.096,3.117e-05
0.36,1.00E+11,70,1.00E+18,10,1,1.089,2.872e-04,80.685,2.035e-04
0.36,1.00E+11,70,1.00E+18,15,0.05,0.802,4.547e-05,83.108,3.195e-05
0.36,1.00E+11,70,1.00E+18,15,1,1.062,2.953e-04,80.243,2.054e-04
0.36,1.00E+11,70,1.00E+18,20,0.05,0.784,4.802e-05,82.762,3.362e-05
0.36,1.00E+11,70,1.00E+18,20,1,1.022,3.088e-04,80.366,2.090e-04
0.36,1.00E+11,70,1.00E+18,30,0.05,0.597,4.931e-05,83.735,2.695e-05
0.36,1.00E+11,70,1.00E+18,30,1,0.882,3.517e-04,89.603,2.174e-04
0.36,1.00E+12,10,1.00E+14,10,0.05,0.848,2.004e-05,85.302,1.812e-05
0.36,1.00E+12,10,1.00E+14,10,1,1.095,1.704e-04,83.663,1.264e-04
0.36,1.00E+12,10,1.00E+14,15,0.05,0.84,2.117e-05,85.819,1.811e-05
0.36,1.00E+12,10,1.00E+14,15,1,1.104,1.812e-04,83.435,1.339e-04
0.36,1.00E+12,10,1.00E+14,20,0.05,0.845,2.195e-05,85.69,1.915e-05
0.36,1.00E+12,10,1.00E+14,20,1,1.11,1.894e-04,83.211,1.395e-04
0.36,1.00E+12,10,1.00E+14,30,0.05,0.84,2.276e-05,85.531,1.946e-05
0.36,1.00E+12,10,1.00E+14,30,1,1.118,2.000e-04,82.913,1.466e-04
0.36,1.00E+12,10,1.00E+14,40,0.05,0.83,2.361e-05,85.122,1.991e-05
0.36,1.00E+12,10,1.00E+14,40,1,1.123,2.120e-04,82.447,1.549e-04
0.36,1.00E+12,10,1.00E+15,10,0.05,0.855,2.946e-05,85.511,2.254e-05
0.36,1.00E+12,10,1.00E+15,10,1,1.173,2.257e-04,82.779,1.702e-04
0.36,1.00E+12,10,1.00E+15,15,0.05,0.854,2.990e-05,85.199,2.284e-05
0.36,1.00E+12,10,1.00E+15,15,1,1.171,2.287e-04,82.653,1.722e-04
0.36,1.00E+12,10,1.00E+15,20,0.05,0.853,3.086e-05,85.374,2.338e-05
0.36,1.00E+12,10,1.00E+15,20,1,1.172,2.333e-04,82.495,1.757e-04
0.36,1.00E+12,10,1.00E+15,30,0.05,0.845,3.306e-05,84.914,2.470e-05
0.36,1.00E+12,10,1.00E+15,30,1,1.158,2.454e-04,81.88,1.829e-04
0.36,1.00E+12,10,1.00E+15,40,0.05,0.744,3.397e-05,82.612,2.135e-05
0.36,1.00E+12,10,1.00E+15,40,1,1.097,2.654e-04,80.175,1.891e-04
0.36,1.00E+12,10,1.00E+16,10,0.05,0.858,3.410e-05,85.471,2.471e-05
0.36,1.00E+12,10,1.00E+16,10,1,1.192,2.406e-04,82.461,1.840e-04
0.36,1.00E+12,10,1.00E+16,15,0.05,0.851,3.647e-05,84.713,2.626e-05
0.36,1.00E+12,10,1.00E+16,15,1,1.174,2.513e-04,82.108,1.895e-04
0.36,1.00E+12,10,1.00E+16,20,0.05,0.846,3.689e-05,84.929,2.654e-05
0.36,1.00E+12,10,1.00E+16,20,1,1.164,2.545e-04,81.881,1.905e-04
0.36,1.00E+12,10,1.00E+16,30,0.05,0.828,3.938e-05,84.063,2.799e-05
0.36,1.00E+12,10,1.00E+16,30,1,1.125,2.688e-04,80.929,1.956e-04
0.36,1.00E+12,10,1.00E+16,40,0.05,0.156,3.715e-05,1367.779,1.586e-05
0.36,1.00E+12,10,1.00E+16,40,1,0.446,3.716e-04,1052.645,1.809e-04
0.36,1.00E+12,10,1.00E+17,10,0.05,0.833,4.147e-05,84.34,2.929e-05
0.36,1.00E+12,10,1.00E+17,10,1,1.128,2.726e-04,81.32,1.987e-04
0.36,1.00E+12,10,1.00E+17,15,0.05,0.823,4.238e-05,84.001,2.994e-05
0.36,1.00E+12,10,1.00E+17,15,1,1.105,2.796e-04,80.959,2.004e-04
0.36,1.00E+12,10,1.00E+17,20,0.05,0.812,4.389e-05,83.425,3.094e-05
0.36,1.00E+12,10,1.00E+17,20,1,1.083,2.873e-04,80.474,2.028e-04
0.36,1.00E+12,10,1.00E+17,30,0.05,0.779,4.504e-05,82.672,3.033e-05
0.36,1.00E+12,10,1.00E+17,30,1,1.043,3.004e-04,80.021,2.062e-04
0.36,1.00E+12,10,1.00E+18,10,0.05,0.816,4.427e-05,84.058,3.117e-05
0.36,1.00E+12,10,1.00E+18,10,1,1.089,2.872e-04,80.685,2.035e-04
0.36,1.00E+12,10,1.00E+18,15,0.05,0.802,4.546e-05,83.113,3.195e-05
0.36,1.00E+12,10,1.00E+18,15,1,1.063,2.952e-04,80.249,2.054e-04
0.36,1.00E+12,10,1.00E+18,20,0.05,0.784,4.803e-05,82.762,3.363e-05
0.36,1.00E+12,10,1.00E+18,20,1,1.022,3.088e-04,80.367,2.090e-04
0.36,1.00E+12,10,1.00E+18,30,0.05,0.597,4.932e-05,83.738,2.696e-05
0.36,1.00E+12,10,1.00E+18,30,1,0.882,3.518e-04,89.614,2.174e-04
0.36,1.00E+12,20,1.00E+14,10,0.05,0.843,2.036e-05,85.667,1.785e-05
0.36,1.00E+12,20,1.00E+14,10,1,1.078,1.655e-04,83.582,1.223e-04
0.36,1.00E+12,20,1.00E+14,15,0.05,0.837,2.150e-05,85.648,1.812e-05
0.36,1.00E+12,20,1.00E+14,15,1,1.088,1.771e-04,83.339,1.304e-04
0.36,1.00E+12,20,1.00E+14,20,0.05,0.838,2.226e-05,85.607,1.875e-05
0.36,1.00E+12,20,1.00E+14,20,1,1.096,1.861e-04,83.155,1.365e-04
0.36,1.00E+12,20,1.00E+14,30,0.05,0.837,2.299e-05,85.42,1.951e-05
0.36,1.00E+12,20,1.00E+14,30,1,1.107,1.980e-04,82.821,1.445e-04
0.36,1.00E+12,20,1.00E+14,40,0.05,0.828,2.376e-05,84.996,1.999e-05
0.36,1.00E+12,20,1.00E+14,40,1,1.116,2.113e-04,82.326,1.538e-04
0.36,1.00E+12,20,1.00E+15,10,0.05,0.853,2.970e-05,85.367,2.266e-05
0.36,1.00E+12,20,1.00E+15,10,1,1.165,2.257e-04,82.67,1.692e-04
0.36,1.00E+12,20,1.00E+15,15,0.05,0.852,3.013e-05,85.282,2.296e-05
0.36,1.00E+12,20,1.00E+15,15,1,1.164,2.288e-04,82.551,1.713e-04
0.36,1.00E+12,20,1.00E+15,20,0.05,0.851,3.107e-05,85.244,2.350e-05
0.36,1.00E+12,20,1.00E+15,20,1,1.166,2.336e-04,82.411,1.752e-04
0.36,1.00E+12,20,1.00E+15,30,0.05,0.844,3.317e-05,84.801,2.477e-05
0.36,1.00E+12,20,1.00E+15,30,1,1.155,2.456e-04,81.835,1.825e-04
0.36,1.00E+12,20,1.00E+15,40,0.05,0.743,3.401e-05,82.58,2.137e-05
0.36,1.00E+12,20,1.00E+15,40,1,1.094,2.655e-04,80.153,1.889e-04
0.36,1.00E+12,20,1.00E+16,10,0.05,0.856,3.424e-05,85.344,2.480e-05
0.36,1.00E+12,20,1.00E+16,10,1,1.189,2.411e-04,82.378,1.839e-04
0.36,1.00E+12,20,1.00E+16,15,0.05,0.85,3.658e-05,84.982,2.635e-05
0.36,1.00E+12,20,1.00E+16,15,1,1.172,2.518e-04,82.069,1.896e-04
0.36,1.00E+12,20,1.00E+16,20,0.05,0.846,3.698e-05,84.874,2.662e-05
0.36,1.00E+12,20,1.00E+16,20,1,1.162,2.548e-04,81.856,1.905e-04
0.36,1.00E+12,20,1.00E+16,30,0.05,0.828,3.943e-05,84.054,2.803e-05
